Logs for Makerere Challenge



Epoch:1, Train L:0.6762, Train A:55.17, Val L:0.6307, Val A:69.14, LR:1e-05
Epoch:2, Train L:0.5816, Train A:69.75, Val L:0.5283, Val A:73.46, LR:1e-05
Epoch:3, Train L:0.5780, Train A:69.75, Val L:0.5498, Val A:71.30, LR:1e-05
Epoch:4, Train L:0.5384, Train A:72.45, Val L:0.5367, Val A:72.22, LR:1e-05
Epoch:5, Train L:0.5396, Train A:73.07, Val L:0.6742, Val A:69.44, LR:1e-05
Epoch:6, Train L:0.5237, Train A:75.23, Val L:0.4849, Val A:76.54, LR:1e-05
Epoch:7, Train L:0.5139, Train A:74.54, Val L:0.4841, Val A:76.85, LR:1e-05
Epoch:8, Train L:0.4879, Train A:77.01, Val L:0.4523, Val A:78.40, LR:1e-05
Epoch:9, Train L:0.4403, Train A:79.48, Val L:0.4995, Val A:75.93, LR:1e-05
Epoch:10, Train L:0.4289, Train A:81.64, Val L:0.4744, Val A:76.85, LR:1e-05
Epoch:11, Train L:0.4096, Train A:82.41, Val L:0.4116, Val A:81.17, LR:1e-05
Epoch:12, Train L:0.4048, Train A:81.94, Val L:0.4579, Val A:78.09, LR:1e-05
Epoch:13, Train L:0.3858, Train A:83.02, Val L:0.4308, Val A:79.94, LR:1e-05
Epoch:14, Train L:0.3738, Train A:83.26, Val L:0.4097, Val A:82.72, LR:1e-05
Epoch:15, Train L:0.3912, Train A:83.87, Val L:0.3931, Val A:83.02, LR:1e-05
Epoch:16, Train L:0.3708, Train A:84.26, Val L:0.4322, Val A:79.94, LR:1e-05
Epoch:17, Train L:0.3721, Train A:83.87, Val L:0.3789, Val A:83.33, LR:1e-05
Epoch:18, Train L:0.3589, Train A:84.95, Val L:0.6908, Val A:64.81, LR:1e-05
Epoch:19, Train L:0.3504, Train A:85.49, Val L:0.4906, Val A:77.78, LR:1e-05
Epoch:20, Train L:0.3670, Train A:85.65, Val L:0.3800, Val A:84.26, LR:1e-05
Epoch:21, Train L:0.3327, Train A:85.42, Val L:0.4754, Val A:77.16, LR:1e-05
Epoch:22, Train L:0.3612, Train A:85.49, Val L:0.4326, Val A:80.25, LR:1e-05
Epoch:23, Train L:0.3296, Train A:86.11, Val L:0.3806, Val A:83.64, LR:1e-05
Epoch:24, Train L:0.3401, Train A:85.88, Val L:0.3645, Val A:83.95, LR:1e-05
Epoch:25, Train L:0.3208, Train A:86.65, Val L:0.3864, Val A:83.33, LR:1e-05
Epoch:26, Train L:0.3500, Train A:85.49, Val L:0.3924, Val A:83.33, LR:1e-05
Epoch:27, Train L:0.3220, Train A:86.65, Val L:0.3754, Val A:82.72, LR:1e-05
Epoch:28, Train L:0.3296, Train A:86.65, Val L:0.3659, Val A:83.95, LR:1e-05
Epoch:29, Train L:0.3285, Train A:87.04, Val L:0.3527, Val A:85.80, LR:1e-05
Epoch:30, Train L:0.3076, Train A:87.27, Val L:0.3690, Val A:83.64, LR:1e-05
Epoch:31, Train L:0.3065, Train A:87.89, Val L:0.3448, Val A:84.88, LR:1e-05
Epoch:32, Train L:0.3279, Train A:87.50, Val L:0.3399, Val A:85.19, LR:1e-05
Epoch:33, Train L:0.2960, Train A:87.96, Val L:0.3923, Val A:83.95, LR:1e-05
Epoch:34, Train L:0.3093, Train A:87.73, Val L:0.3628, Val A:84.88, LR:1e-05
Epoch:35, Train L:0.2865, Train A:87.96, Val L:0.3420, Val A:85.80, LR:1e-05
Epoch:36, Train L:0.2952, Train A:87.65, Val L:0.3288, Val A:86.42, LR:1e-05
Epoch:37, Train L:0.3035, Train A:88.19, Val L:0.3092, Val A:86.42, LR:1e-05
Epoch:38, Train L:0.2959, Train A:88.81, Val L:0.3629, Val A:84.88, LR:1e-05
Epoch:39, Train L:0.2904, Train A:87.96, Val L:0.3286, Val A:86.73, LR:1e-05
Epoch:40, Train L:0.2810, Train A:88.97, Val L:0.3146, Val A:87.04, LR:1e-05
Epoch:41, Train L:0.2866, Train A:88.97, Val L:0.3071, Val A:87.04, LR:1e-05
Epoch:42, Train L:0.2697, Train A:89.74, Val L:0.3541, Val A:85.19, LR:1e-05
Epoch:43, Train L:0.2725, Train A:89.51, Val L:0.3487, Val A:86.11, LR:1e-05
Epoch:44, Train L:0.2754, Train A:88.58, Val L:0.3577, Val A:85.19, LR:1e-05
Epoch:45, Train L:0.2662, Train A:90.20, Val L:0.3058, Val A:87.96, LR:1e-05
Epoch:46, Train L:0.2696, Train A:89.35, Val L:0.2960, Val A:87.35, LR:1e-05
Epoch:47, Train L:0.2629, Train A:89.58, Val L:0.2979, Val A:87.96, LR:1e-05
Epoch:48, Train L:0.2683, Train A:89.12, Val L:0.3074, Val A:88.27, LR:1e-05
Epoch:49, Train L:0.2691, Train A:89.20, Val L:0.3040, Val A:85.80, LR:1e-05
Epoch:50, Train L:0.2529, Train A:89.81, Val L:0.4218, Val A:83.02, LR:1e-05
Epoch:51, Train L:0.2442, Train A:90.66, Val L:0.3015, Val A:88.27, LR:1e-05
Epoch:52, Train L:0.2671, Train A:89.89, Val L:0.2662, Val A:87.96, LR:1e-05
Epoch:53, Train L:0.2382, Train A:89.74, Val L:0.3079, Val A:88.89, LR:1e-05
Epoch:54, Train L:0.2436, Train A:89.27, Val L:0.3205, Val A:85.80, LR:1e-05
Epoch:55, Train L:0.2313, Train A:90.82, Val L:0.3219, Val A:86.42, LR:1e-05
Epoch:56, Train L:0.2438, Train A:90.59, Val L:0.2750, Val A:89.51, LR:1e-05
Epoch:57, Train L:0.2499, Train A:90.20, Val L:0.2733, Val A:87.65, LR:1e-05
Epoch:58, Train L:0.2256, Train A:91.05, Val L:0.3172, Val A:85.80, LR:1e-05
Epoch:59, Train L:0.2375, Train A:90.59, Val L:0.2721, Val A:88.27, LR:1e-05
Epoch:60, Train L:0.2218, Train A:91.51, Val L:0.2648, Val A:89.20, LR:1e-05
Epoch:61, Train L:0.2194, Train A:90.82, Val L:0.2832, Val A:88.58, LR:1e-05
Epoch:62, Train L:0.2250, Train A:90.74, Val L:0.2690, Val A:87.35, LR:1e-05
Epoch:63, Train L:0.2357, Train A:90.28, Val L:0.3255, Val A:86.11, LR:1e-05
Epoch:64, Train L:0.2179, Train A:90.90, Val L:0.2557, Val A:88.58, LR:1e-05
Epoch:65, Train L:0.2277, Train A:91.05, Val L:0.2440, Val A:90.43, LR:1e-05
Epoch:66, Train L:0.2204, Train A:91.28, Val L:0.2497, Val A:90.12, LR:1e-05
Epoch:67, Train L:0.2018, Train A:92.21, Val L:0.2652, Val A:88.58, LR:1e-05
Epoch:68, Train L:0.2149, Train A:91.59, Val L:0.2618, Val A:89.81, LR:1e-05
Epoch:69, Train L:0.2168, Train A:90.74, Val L:0.2866, Val A:86.73, LR:1e-05
Epoch:70, Train L:0.2163, Train A:90.51, Val L:0.2432, Val A:88.58, LR:1e-05
Epoch:71, Train L:0.2107, Train A:91.59, Val L:0.2169, Val A:90.43, LR:1e-05
Epoch:72, Train L:0.1982, Train A:91.90, Val L:0.3199, Val A:86.73, LR:1e-05
Epoch:73, Train L:0.1968, Train A:92.75, Val L:0.2240, Val A:91.05, LR:1e-05
Epoch:74, Train L:0.2217, Train A:91.28, Val L:0.2281, Val A:89.51, LR:1e-05
Epoch:75, Train L:0.2040, Train A:92.13, Val L:0.2573, Val A:89.51, LR:1e-05
Epoch:76, Train L:0.2008, Train A:91.98, Val L:0.2440, Val A:91.36, LR:1e-05
Epoch:77, Train L:0.1942, Train A:92.44, Val L:0.2559, Val A:89.20, LR:1e-05
Epoch:78, Train L:0.1865, Train A:93.29, Val L:0.2622, Val A:88.58, LR:1e-05
Epoch:79, Train L:0.1860, Train A:93.06, Val L:0.2688, Val A:91.36, LR:1e-05
Epoch:80, Train L:0.2026, Train A:92.36, Val L:0.2946, Val A:91.05, LR:1e-05
Epoch:81, Train L:0.1841, Train A:92.52, Val L:0.2391, Val A:91.05, LR:1e-05
Epoch:82, Train L:0.1898, Train A:92.90, Val L:0.2182, Val A:89.81, LR:1e-05
Epoch:83, Train L:0.1762, Train A:92.67, Val L:0.2607, Val A:90.74, LR:1e-05
Epoch:84, Train L:0.1944, Train A:92.44, Val L:0.2434, Val A:91.05, LR:1e-05
Epoch:85, Train L:0.1875, Train A:92.82, Val L:0.3516, Val A:87.96, LR:1e-05
Epoch:86, Train L:0.1886, Train A:91.98, Val L:0.2078, Val A:92.90, LR:1e-05
Epoch:87, Train L:0.1888, Train A:92.44, Val L:0.2607, Val A:89.20, LR:1e-05
Epoch:88, Train L:0.1922, Train A:92.36, Val L:0.2697, Val A:86.42, LR:1e-05
Epoch:89, Train L:0.1811, Train A:93.36, Val L:0.2107, Val A:91.05, LR:1e-05
Epoch:90, Train L:0.1810, Train A:92.67, Val L:0.2839, Val A:88.27, LR:1e-05
Epoch:91, Train L:0.1921, Train A:91.51, Val L:0.2307, Val A:90.43, LR:1e-05
Epoch:92, Train L:0.1804, Train A:92.75, Val L:0.2045, Val A:91.36, LR:1e-05
Epoch:93, Train L:0.1786, Train A:92.75, Val L:0.2179, Val A:89.51, LR:1e-05
Epoch:94, Train L:0.1692, Train A:92.90, Val L:0.2283, Val A:91.67, LR:1e-05
Epoch:95, Train L:0.1601, Train A:93.44, Val L:0.3450, Val A:86.73, LR:1e-05
Epoch:96, Train L:0.1645, Train A:93.44, Val L:0.2011, Val A:92.59, LR:1e-05
Epoch:97, Train L:0.1594, Train A:93.90, Val L:0.2434, Val A:91.05, LR:1e-05
Epoch:98, Train L:0.1467, Train A:94.52, Val L:0.2255, Val A:90.12, LR:5e-06
Epoch:99, Train L:0.1461, Train A:94.60, Val L:0.1767, Val A:92.90, LR:5e-06
Epoch:100, Train L:0.1614, Train A:93.29, Val L:0.2108, Val A:92.28, LR:5e-06
Epoch:101, Train L:0.1413, Train A:94.68, Val L:0.1885, Val A:93.83, LR:5e-06
Epoch:102, Train L:0.1351, Train A:94.98, Val L:0.2459, Val A:90.74, LR:5e-06
Epoch:103, Train L:0.1447, Train A:94.06, Val L:0.1794, Val A:93.21, LR:5e-06
Epoch:104, Train L:0.1403, Train A:94.68, Val L:0.2334, Val A:90.74, LR:5e-06
Epoch:105, Train L:0.1523, Train A:94.29, Val L:0.1955, Val A:92.28, LR:5e-06
Epoch:106, Train L:0.1332, Train A:95.14, Val L:0.1841, Val A:92.28, LR:5e-06
Epoch:107, Train L:0.1451, Train A:93.98, Val L:0.2355, Val A:90.43, LR:5e-06
Epoch:108, Train L:0.1305, Train A:94.14, Val L:0.1815, Val A:92.90, LR:5e-06
Epoch:109, Train L:0.1335, Train A:94.75, Val L:0.1820, Val A:92.59, LR:5e-06
Epoch:110, Train L:0.1287, Train A:95.14, Val L:0.2534, Val A:90.12, LR:5e-06
Epoch:111, Train L:0.1335, Train A:95.06, Val L:0.1783, Val A:92.90, LR:5e-06
Epoch:112, Train L:0.1517, Train A:93.90, Val L:0.1800, Val A:93.52, LR:5e-06
Epoch:113, Train L:0.1354, Train A:94.21, Val L:0.1819, Val A:92.90, LR:2.5e-06
Epoch:114, Train L:0.1216, Train A:95.29, Val L:0.1693, Val A:93.52, LR:2.5e-06
Epoch:115, Train L:0.1019, Train A:96.14, Val L:0.1691, Val A:92.90, LR:2.5e-06
Epoch:116, Train L:0.1141, Train A:95.68, Val L:0.1681, Val A:92.90, LR:2.5e-06
Epoch:117, Train L:0.1105, Train A:95.29, Val L:0.1677, Val A:93.52, LR:2.5e-06
Epoch:118, Train L:0.1137, Train A:95.52, Val L:0.1832, Val A:93.21, LR:2.5e-06
Epoch:119, Train L:0.1091, Train A:95.37, Val L:0.1775, Val A:93.21, LR:2.5e-06
Epoch:120, Train L:0.1136, Train A:95.37, Val L:0.1765, Val A:93.21, LR:2.5e-06
Epoch:121, Train L:0.1230, Train A:94.98, Val L:0.1909, Val A:93.83, LR:2.5e-06
Epoch:122, Train L:0.1103, Train A:95.99, Val L:0.1607, Val A:93.83, LR:2.5e-06
Epoch:123, Train L:0.1160, Train A:95.29, Val L:0.1705, Val A:93.52, LR:2.5e-06
Epoch:124, Train L:0.1049, Train A:95.99, Val L:0.1588, Val A:93.83, LR:1.25e-06
Epoch:125, Train L:0.1078, Train A:95.45, Val L:0.1651, Val A:93.52, LR:1.25e-06
